region_name,region_name_rus,map_region_name,scrap_per,nalog_per,taxi_per,scrap_without_mozen_per,auto_without_mozen_per,nalog_without_mozen_per,taxi_without_mozen_per,option_region_name,type,type_eng,lat,lon
АДЫГЕЯ РЕСП,Адыгея республика,Adygey,0.00,0,17.00,0.19,0.18,0.15,0.15,Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya,Respublika,Republic,44.608865,40.098548
АЛТАЙ РЕСП,Алтай республика,Altay,1.32,14,6.20,0.75,0.99,1.24,1.24,Altayskiy Kray,Kray,Territory,51.958182,85.960373
АЛТАЙСКИЙ КРАЙ,Алтайский край,Gorno-Altay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai,Respublika,Republic,53.346785,83.776856
АМУРСКАЯ ОБЛ,Амурская область,Amur,0.00,25,6.80,0.26,0.89,0.25,0.26,Amurskaya Oblast,Oblast,Region,50.28702,127.541025
АРХАНГЕЛЬСКАЯ ОБЛ,Архангельская область,Arkhangel'sk,0.00,33,7.30,0.70,0.29,0.29,0.30,Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast,Oblast,Region,64.539393,40.516939
АСТРАХАНСКАЯ ОБЛ,Астраханская область,Astrakhan',2.8,88,10.80,0.47,0.33,0.29,0.31,Astrachan|Astrakhanskaya Oblast,Oblast,Region,46.347869,48.033574
БАШКОРТОСТАН РЕСП,Башкортостан республика,Bashkortostan,3.45,15,16.50,1.96,1.86,1.61,1.41,Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan,Respublika,Republic,54.735147,55.958727
БЕЛГОРОДСКАЯ ОБЛ,Белгородская область,Belgorod,1.89,9,4.40,0.52,0.76,0.92,0.92,Belgorodskaya Oblast,Oblast,Region,50.59566,36.587223
БРЯНСКАЯ ОБЛ,Брянская область,Bryansk,1.43,0,10.50,0.69,0.27,0.25,0.25,Bryanskaya Oblast,Oblast,Region,53.243562,34.363443
БУРЯТИЯ РЕСП,Бурятия республика,Buryat,2.50,100,2.30,0.39,0.53,0.18,0.24,Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika,Respublika,Republic,51.834464,107.584574
ВЛАДИМИРСКАЯ ОБЛ,Владимирская область,Vladimir,0.00,18,9.60,1.1,0.55,0.42,0.42,Vladimirskaya Oblast,Oblast,Region,56.129057,40.406635
ВОЛГОГРАДСКАЯ ОБЛ,Волгоградская область,Volgograd,1.12,16,14.30,1.76,1.9,0.57,0.53,Stalingrad|Volgogradskaya Oblast,Oblast,Region,48.707073,44.51693
ВОЛОГОДСКАЯ ОБЛ,Вологодская область,Vologda,0.00,40,6.00,0.98,0.90,0.55,0.57,Vologodskaya Oblast,Oblast,Region,59.220496,39.891523
ВОРОНЕЖСКАЯ ОБЛ,Воронежская область,Voronezh,0.70,24,8.40,1.42,1.10,0.77,1.2,Voronezhskaya Oblast,Oblast,Region,51.660781,39.200269
ДАГЕСТАН РЕСП,Дагестан республика,Dagestan,0.00,14,30.70,0.24,0.42,0.54,0.39,Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan,Respublika,Republic,42.98306,47.504682
ЕВРЕЙСКАЯ АОБЛ,Еврейская автономная область,Yevrey,0.00,0.00,0.00,0.09,0.00,0.04,0.04,Den jødiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb,Avtonomnaya Oblast,Autonomous Region,48.794668,132.921754
Забайкальский край,Забайкальский край,Zabaikal,0.00,0.00,2.20,0.32,0.33,0.25,0.25,Zabaikalskiy Krai,Oblast,Region,52.033973,113.499432
ИВАНОВСКАЯ ОБЛ,Ивановская область,Ivanovo,0.00,29.00,5.80,2.9,0.44,0.50,0.50,Ivanovskaya Oblast,Oblast,Region,57.000348,40.973921
ИНГУШЕТИЯ РЕСП,Ингушетия республика,Ingush,0.00,0.00,11.00,0.19,0.08,0.11,0.13,Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya,Respublika,Republic,43.171501,44.81624
ИРКУТСКАЯ ОБЛ,Иркутская область,Irkutsk,1.89,26.00,7.00,1.4,1.39,1.12,1.12,Irkutskaya Oblast,Oblast,Region,52.287054,104.281047
КАБАРДИНО-БАЛКАРСКАЯ РЕСП,Кабардино-Балкарская республика,Kabardin-Balkar,0.00,10.00,11.60,0.39,0.06,0.23,0.21,Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic,Respublika,Republic,43.485259,43.607072
КАЛИНИНГРАДСКАЯ ОБЛ,Калининградская область,Kaliningrad,5.66,30.00,11.30,0.50,1.3,0.94,0.92,Kaliningradskaya Oblast,Oblast,Region,54.70739,20.507307
КАЛМЫКИЯ РЕСП,Калмыкия республика,Kalmyk,0.00,14.00,16.20,0.15,0.14,0.12,0.11,Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya,Respublika,Republic,46.307743,44.269759
КАЛУЖСКАЯ ОБЛ,Калужская область,Kaluga,0.00,13.00,13.50,0.51,0.32,0.48,0.44,Kaluzhskaya Oblast,Oblast,Region,54.513845,36.261215
КАМЧАТСКИЙ КРАЙ,Камчатский край,Kamchatka,0.00,100.00,0.00,0.35,0.16,0.09,0.10,Kamï¿½atka|Kamchatskaya Oblast,Oblast,Region,53.024075,158.643566
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,Карачаево-Черкесская республика,Karachay-Cherkess,0.00,25.00,11.10,0.08,0.06,0.07,0.07,Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K,Respublika,Republic,44.226863,42.04677
КАРЕЛИЯ РЕСП,Карелия республика,Karelia,2.86,25.00,9.80,0.34,0.37,0.21,0.21,Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia,Respublika,Republic,61.785017,34.346878
КЕМЕРОВСКАЯ ОБЛ,Кемеровская область,Kemerovo,0.61,25.00,4.90,1.63,1.00,0.84,0.86,Kemerovskaya Oblast,Oblast,Region,55.354727,86.088374
КИРОВСКАЯ ОБЛ,Кировская область,Kirov,0.00,6.00,11.20,0.81,0.44,0.43,0.41,Vyatka|Vyatskaya G.|Kirovskaya Oblast,Oblast,Region,58.603581,49.667978
КОМИ РЕСП,Коми республика,Komi,0.00,14.00,12.30,0.50,0.23,0.22,0.21,Komi A.S.S.R.|Republic of Komi|Respublika Komi,Respublika,Republic,61.668793,50.836399
КОСТРОМСКАЯ ОБЛ,Костромская область,Kostroma,0.00,22.00,16.10,0.47,0.28,0.16,0.15,Kostromskaya Oblast,Oblast,Region,57.767961,40.926858
КРАСНОДАРСКИЙ КРАЙ,Краснодарский край,Krasnodar,1.7,23.00,10.20,1.85,3.52,3.15,3.8,Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray,Kray,Territory,45.03547,38.975313
КРАСНОЯРСКИЙ КРАЙ,Красноярский край,Krasnoyarsk,0.00,25.00,6.90,1.45,2.5,1.53,1.53,Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.,Kray,Territory,56.010563,92.852572
КУРГАНСКАЯ ОБЛ,Курганская область,Kurgan,0.00,50.00,5.80,1.2,0.21,0.24,0.24,Kurganskaya Oblast,Oblast,Region,55.441004,65.341118
КУРСКАЯ ОБЛ,Курская область,Kursk,0.00,13.00,21.80,0.90,0.24,0.28,0.24,Kurskaya Oblast,Oblast,Region,51.730361,36.192647
ЛЕНИНГРАДСКАЯ ОБЛ,Ленинградская область,Leningrad,1.92,31.00,10.50,1.2,0.44,0.98,0.97,Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast,Oblast,Region,59.568456,30.124473
ЛИПЕЦКАЯ ОБЛ,Липецкая область,Lipetsk,5.77,33.00,13.40,0.49,0.40,0.33,0.31,Lipetskaya Oblast,Oblast,Region,52.60882,39.59922
МАГАДАНСКАЯ ОБЛ,Магаданская область,Magadan,28.57,0.00,10.00,0.05,0.04,0.05,0.05,Magadanskaya Oblast,Oblast,Region,59.568164,150.808541
МАРИЙ ЭЛ РЕСП,Марий Эл республика,Mariy-El,0.00,16.00,29.40,0.22,0.19,0.27,0.20,Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El,Respublika,Republic,56.630842,47.886089
МОРДОВИЯ РЕСП,Мордовия республика,Mordovia,0.00,0.00,17.20,0.52,0.23,0.23,0.21,Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R.,Respublika,Republic,54.187433,45.183938
